uz,ru
"Молиявий ҳисоботлар
(Юридик шахс мақомига эга бўлган бюджет ташкилотлари учун (молия органларига))", "Финансовая отчетность
(Для бюджетные организации, имеющие статус юридического лица (в финансовые органы))"
"Молиявий ҳисоботлар
(Хўжалик юритувчи субъектлар (йирик корхоналар) учун)", "Финансовая отчетность
(Для хозяйствующие субъекты (крупные предприятия))"
"Молиявий ҳисоботлар
(Хўжалик юритувчи субъектлар (кичик корхоналар ва микрофирмалар) учун)", "Финансовая отчетность
(Для хозяйствующие субъекты (малые предприятия и микрофирмы))"
"Қўшилган қиймат солиғи ҳисоб-китоби", "Расчет налога на добавленную стоимость"
"Чет эллик шахслардан олинган товарлар (хизматлар) бўйича ҚҚС ҳисоб-китоби", "Расчет НДС по приобретенным товарам (услугам) от иностранных лиц"
"ҚҚС ҳисоб-китоби (Давлат мулкини ижарага берувчи ва харид қилувчи, мусодара қилинган мол-мулкни реализация қилувчи солиқ агентлари учун)", "Расчет НДС (для налоговых агентов - предоставляющих в аренду государственное имущество и приобретающих государственное имущество, осуществлящих реализацию конфискованного имущества)"
"Акциз солиғи ҳисоб-китоби", "Расчет акцизного налога"
"Фойда солиғи ҳисоб-китоби", "Расчет налога на прибыль"
"Фойда солиғи бўйича ҳар ойлик бўнак тўловларни ҳисоблаш учун маълумотнома", "Справка для исчисления авансовых платежей по налогу на прибыль"
"Солик агентлари томонидан тўлов манбаида ушлаб колинадиган дивидендлар ва фоизлар кўринишида тўланадиган даромадлардан олинадиган солик хисоб-китоби", "Расчет налога на доходы, выплачиваемые в виде дивидендов и процентов"
"Норезидентларнинг даромадидан солиқ агенти томонидан тўлов манбаидан ушлаб қолинадиган фойда солиғининг ҳисоб-китоби", "Расчет налога на прибыль юридических лиц, с доходов нерезидентов, удерживаемого налоговым агентом у источника выплаты"
"Жисмоний шахслардан олинадиган даромад солиғи ва ижтимоий солиқ ҳисоб-китоби", "РАСЧЕТ налога на доходы физических лиц и социального налога"
"Тўлов манбаидан солиқ солинмаган моддий наф тарзида даромадлар олган жисмоний шахслар тўғрисида маълумотнома", "СПРАВКА о физических лицах, получивших доходы в виде материальной выгоды, не обложенных у источника выплаты"
"Жамғариб бориладиган пенсия тизимида қатнашаётган ходимларнинг РЕЕСТРИ", "РЕЕСТР работников, участвующих в накопительной пенсионной системе"
"Юридик шахсларнинг мол-мулкига солинадиган солиқ бўйича бўнак тўловларни ҳисоблаш бўйича маълумотнома", "Справка об исчислении авансовых платежей по налогу на имущество юридических лиц"
"Юридик шахсларнинг мол-мулкига солинадиган солиқ ҳисоб-китоби", "Расчет налога на имущество юридических лиц"
"Қишлоқ хўжалиги учун мўлжалланмаган ерлар учун тўланадиган ер солиғи ҳисоб-китоби", "Расчет земельного налога с юридических лиц, уплачиваемого за земли несельскохозяйственного назначения"
"Жорий солиқ даврининг 1 январидаги ҳолат бўйича солиқ солиш объекти ҳисобланмайдиган, юридик шахсда мавжуд бўлган ер участкалари тўғрисида маълумотнома", "Справка по земельным участкам юридических лиц, не являющимися объектом налогообложения по состоянию на 1 января текущего налогового периода"
"Қишлоқ хўжалигига мўлжалланган ерлар бўйича ер солиғи ҳисоб-китоби", "Расчет земельного налога по землям сельскохозяйственного назначения"
"Сув ресурсларидан фойдаланганлик учун солиқ ҳисоб-китоби (юридик шахслар, норезидентлар шунингдек якка тартибдаги тадбиркорлар учун)", "Расчет налога за пользование водными ресурсами (для юридических лиц, нерезиденты а также индивидуальные предприниматели)"
"Сув ресурсларидан фойдаланганлик учун солиқ бўйича жорий тўловларни ҳисоблаш бўйича маълумотнома", "Справка для исчисления текущих платежей по налогу за пользование водными ресурсами"
"Сув ресурсларидан фойдаланганлик учун солиқ ҳисоб-китоби (қишлоқ хўжалик корхоналари учун)", "	Расчет налога за пользование водными ресурсами (для сельскохозяйственным предприятиям)"
"Ер каъридан фойдаланганлик учун солик хисоб-китоби", "Расчет налога за пользование недрами"
"Фойдали қазилмаларни қазиб олганлик учун махсус рента солиғи хисоб-китоби", "Расчет специального рентного налога на добычу полезных ископаемых"
"Айланмадан олинадиган солиқ ҳисоб-китоби", "Расчет налога с оборота"
"Бухгалтерия баланси, Молиявий натижалар тўғрисидаги ҳисобот, Пул оқимлари тўғрисидаги ҳисобот, Хусусий капитал тўғрисидаги ҳисобот", "Бухгалтерский баланс, Отчет о финансовых результатах, Отчет о денежных потоках, Отчет о собственном капитале"
"Бухгалтерия баланси, Молиявий натижалар тўғрисидаги ҳисобот", "Бухгалтерский баланс, Отчет о финансовых результатах"
"2024 йил декабр ойи учун", "За декабрь 2024 г."
"Январ ойи учун", "За январь"
"Феврал ойи учун", "За февраль"
"Март ойи учун", "За март"
"Апрел ойи учун", "За апрель"
"Май ойи учун", "За май"
"Июн ойи учун", "За июнь"
"Июл ойи учун", "За июль"
"Август ойи учун", "За августь"
"Сентябр ойи учун", "За сентябрь"
"Октябр ойи учун", "За октябрь"
"Ноябр ойи учун", "За ноябрь"
"2024 йил 4-чорак учун", "За 4 квартал 2024 г."
"1-чорак учун", "за 1 квартал"
"2-чорак учун", "за 2 квартал"
"3-чорак учун", "за 3 квартал"
"4-чорак учун", "за 4 квартал"
"2024 йил декабр, 2025 йил январ ойи учун", "За декабрь 2024 г., январь 2025 г."
"2024 йил учун", "За 2024 год"
"2025 йил учун", "За 2025 год"
"*олдинги солиқ даврида жами даромади ўн миллиард сўмдан ошган солиқ тўловчилар бўнак тўловлари суммаси тўғрисида маълумотнома тақдим этиш ҳуқуқига эга. Хар ойлик бўнак тўловларини белгиланган муддатларда тўлаши лозим.", "*налогоплательщики, совокупный доход которых в предыдущем налоговом периоде превышает десять миллиардов сумов, имеют право представить справку о сумме налоговых выплат. Обязан своевременно выплачивать ежемесячные авансовые платежи."
"*олдинги солиқ даврида жами даромади ўн миллиард сўмдан ошган солиқ тўловчилар бўнак тўловлари суммаси тўғрисида маълумотнома тақдим этиш ҳуқуқига эга. Хар ойлик бўнак тўловларини белгиланган муддатларда тўлаши лозим. ", "*налогоплательщики, совокупный доход которых в предыдущем налоговом периоде превышает десять миллиардов сумов, имеют право представить справку о сумме налоговых выплат. Обязан своевременно выплачивать ежемесячные авансовые платежи."
"*Солиқ суммаси дивидендларни ва фоизларни тўлаш муддатидан кечиктирмай бюджетга тўланади.", "*Сумма налога уплачивается в бюджет не позднее даты выплаты дивидендов и процентов."
"*тўлов манбаидан солиқ солинмаган моддий наф тарзида даромадлар олган жисмоний шахслар мавжуд бўлганда тақдим этилади.", "*предоставляется в случае не удержания налога у источника выплат о физических лицах, получивших доходы в виде материальной выгоды."
"*янги ташкил қилинган солиқ тўловчилар, давлат рўйхатидан ўтказилган санадан эътиборан ўттиз кундан кечиктирмай тақдим этади;
*солиқ бўйича мажбуриятлари солиқ даври мобайнида юзага келган солиқ тўловчилар, солиқ мажбурияти юзага келган санадан эътиборан ўттиз кундан кечиктирмай тақдим этади.", "*вновь созданные налогоплательщики - представляют не позднее тридцати дней с даты государственной регистрации;
*налогоплательщики, у которых обязательства по налогу возникли в течение налогового периода, представляют не позднее тридцати дней с даты возникновения налогового обязательства."
"*солиқ базаси (ҳисоблаб чиқарилган солиқ суммаси) солиқ даври мобайнида ўзгариш бўлганда юридик шахслар бир ойлик муддат ичида аниқлаштирилган солиқ ҳисоботини тақдим этиши шарт.", "*при изменении налоговой базы (исчисленной суммы налога) в течение налогового периода юридические лица обязаны в месячный срок представить уточненную налоговую отчетность."
"*Солиқ кодексининг 426-моддасининг иккинчи қисмида кўрсатилган солиқ солиш объекти сифатида ҳисобланмайдиган ер участкалаuга эга бўлган шахслар томонидан тақдим этилади.", "*предоставляются лицами имеющие земельные участки, которые не являются в качестве объекта налогообложения, указанные в части второй статьи 426 Налогового Кодекса"
"*cолиқ базаси (ҳисоблаб чиқарилган солиқ суммаси) солиқ даври мобайнида ўзгариш бўлганда юридик шахслар бир ойлик муддат ичида аниқлаштирилган солиқ ҳисоботини тақдим этиши шарт.
*солиқ даври мобайнида қишлоқ хўжалиги экинзорларининг умумий майдонида ва таркибида ўзгаришлар юз берганда, аниқлаштирилган солиқ ҳисоботини жорий йилнинг 1 декабрига қадар тақдим этади.", "*при изменении налоговой базы (исчисленной суммы налога) в течение налогового периода юридические лица обязаны в месячный срок представить уточненную налоговую отчетность.
*в случае изменения общей площади и составе сельскохозяйственных угодий в течение налогового периода представить уточненный налоговый отчет до 1 декабря текущего года."
"*рента зарари мавжуд бўлган даврда — солиқ ҳисоботи йилда бир марта, солиқ давридан кейинги йилнинг 1 мартидан кечиктирмай тақдим этилади.", "*в период наличия рентного убытка — налоговая отчетность представляется один раз в год не позднее 1 марта года, следующего за налоговым периодом."
"Фойда солиғи бўйича бўнак тўловлар", "Авансовых платежей по налогу на прибыль"
"Норезидентларнинг даромадидан ушлаб қолинган фойда солиғи (Банклар томонидан)", "Налог на прибыль, удерживаемый с доходов нерезидентов (Банками)"
"Жисмоний шахслардан олинадиган даромад солиғи (Натура шаклида даромадлар учун)", "Налог на доходы физических лиц и социальный налог (Для доходов в натуральной форме)"
"Жамғариб бориладиган пенсия тўлови", "Накопленная пенсионная выплата"
"Мол-мулк солиғи бўйича бўнак тўловлар (Айланмадан солиқ тўловчилар учун)", "Авансовых платежей по налогу на имущество (Для плательщиками налога с оборота)"
"Мол-мулк солиғи бўйича бўнак тўловлар (Айланмадан солиқ тўловчилар ҳисобланмайдиган солиқ тўловчилар учун)", "Авансовых платежей по налогу на имущество (Для налогоплательщиками, не являющимися плательщиками налога с оборота)"
"Ер солиғи (Айланмадан солиқ тўловчилар учун)", "Земельный налог (Для плательщиками налога с оборота)"
"Ер солиғи (Айланмадан солиқ тўловчилар ҳисобланмайдиган солиқ тўловчилар учун)", "Земельный налог (Для налогоплательщиками, не являющимися плательщиками налога с оборота)"
"Ер солиғи (Йиллик солиқ суммасининг 30 фоизи)", "Земельный налог (30 процентов от годовой суммы налога)"
"Ер солиғи (Йиллик солиқ суммасининг 70 фоизи)", "Земельный налог (30 процентов от годовой суммы налога)"
"Сув ресурсларидан фойдаланганлик учун солиқ", "Налог за пользование водными ресурсами"
"Сув ресурсларидан фойдаланганлик учун солиқ (Деҳқон хўжаликлари учун)", "Налог за пользование водными ресурсами (Для дехканских хозяйств)"
"Сув ресурсларидан фойдаланганлик учун солиқ (Солиқ даврида солиқ суммаси БҲМнинг икки юз бараваридан кўпроқни ташкил этадиган юридик шахслар (бундан АОС тўловчилар мустасно) учун)", "Налог за пользование водными ресурсами (Юридическими лицами (за исключением плательщиков налога с оборота), у которых сумма налога за налоговый период составляет более двухсоткратного размера БРВ)"
"Сув ресурсларидан фойдаланганлик учун солиқ (Солиқ даврида солиқ суммаси БҲМнинг икки юз бараваридан камроқни ташкил этадиган, АОС тўловчилар бўлмаган юридик шахслар, шунингдек АОС тўловчилар ва ЯТТлар учун)", "Налог за пользование водными ресурсами (Юридическими лицами, не являющихся плательщиками налога с оборота, у которых сумма налога за налоговый период составляет менее двухсоткратного размера БРВ, а также плательщиками налога с оборота и ИП)"
"Сув ресурсларидан фойдаланганлик учун солиқ (Йиллик солиқ суммасининг 70 фоизи)", "Налог за пользование водными ресурсами (70 процентов от годовой суммы налога)"
"Сув ресурсларидан фойдаланганлик учун солиқ (Йиллик солиқ суммасининг 30 фоизи)", "Налог за пользование водными ресурсами (30 процентов от годовой суммы налога)"
"Ер қаъридан фойдаланганлик учун солиқ", "Налог за пользование недрами"
"Декабр ойи учун", "За декабрь"
"*Қолганлар томонидан, — норезидентга даромадлар тўланган куннинг кейинги кунидан кечиктирмай тўланади.", "*По остальным — уплачивается не позднее дня, следующего за днем ​​выплаты дохода нерезиденту."
"Жисмоний шахслардан олинадиган даромад солиғи", "Налог на доходы физических лиц"
"Ижтимоий солиқ", "Социальный налог"
"Ер солиғи", "Земельный налог"
"Молиявий ҳисоботлар
(Бухгалтерия ҳисобининг миллий стандартларда юритадиган корхона ва ташкилотлар учун)","Финансовая отчетность
(Для предприятий и организаций, ведущих бухгалтерский учет по национальным стандартам)"
"Молиявий ҳисоботлар
(Молиявий ҳисоботнинг халқаро стандартларда юритадиган корхона ва ташкилотлар учун)","Финансовая отчетность
(Для предприятий и организаций, ведущих финансовую отчетность в соответствии с международными стандартами)"
"Бухгалтерия ҳисобининг миллий стандартларига асосан тузилган йиллик молиявий ҳисобот ҳисобот йилидан кейинги йилнинг 1-мартидан кечиктирмай","Годовая бухгалтерская отчетность, составленная в соответствии с национальными стандартами бухгалтерского учета, представляется не позднее 1 марта года, следующего за отчетным."
"Молиявий ҳисоботнинг халқаро стандартларига асосан тузилган йиллик молиявий ҳисобот ҳисобот йилидан кейинги йилнинг 1-майидан кечиктирмай","Годовая финансовая отчетность, составленная в соответствии с международными стандартами финансовой отчетности, представляется не позднее 1 мая года, следующего за отчетным."
